Location,Location Latitude,Location Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Radius Category
Ottawa,45.421401,-75.699699,Green Rebel,45.42072121963156,-75.69980752071004,Salad Place,100
Quebec City,46.812671,-71.21364200000001,Place d'Youville,46.81242667014215,-71.2142465940788,Plaza,100
Quebec City,46.812671,-71.21364200000001,Palais Montcalm,46.81240512414711,-71.2139403326507,Concert Hall,100
Quebec City,46.812671,-71.21364200000001,Second Cup,46.81219480749934,-71.21472713128281,Coffee Shop,100
Quebec City,46.812671,-71.21364200000001,Sapristi,46.812904102921046,-71.21267382825583,Gastropub,100
Quebec City,46.812671,-71.21364200000001,Le Capitole  (Salle),46.81331725227038,-71.21435986351878,Concert Hall,100
Quebec City,46.812671,-71.21364200000001,Quebec City Marriott Downtown,46.811957318356036,-71.21437003795927,Hotel,100
Quebec City,46.812671,-71.21364200000001,Marriott Quebec,46.81213018443209,-71.21442714059945,Hotel,100
Quebec City,46.812671,-71.21364200000001,Subway,46.812313145671034,-71.21483337738186,Sandwich Place,100
Quebec City,46.812671,-71.21364200000001,Hôtel du Capitole de Québec,46.81270740831402,-71.21387684219476,Hotel,100
Quebec City,46.812671,-71.21364200000001,Pizzeria d'Youville,46.81299243459963,-71.21253795964063,Pizza Place,100
Regina,50.45065,-104.612339,Tim Hortons,50.450712,-104.610966,Coffee Shop,100
Regina,50.45065,-104.612339,Hudson's Bay,50.450927390220656,-104.61173102527532,Department Store,100
Regina,50.45065,-104.612339,ComicReaders.com,50.45034671610968,-104.61152353807934,Hobby Shop,100
Regina,50.45065,-104.612339,New York Fries - Cornwall Centre,50.45099690916035,-104.6114392209946,Restaurant,100
Regina,50.45065,-104.612339,Dollarama,50.450968,-104.611399,Discount Store,100
Saskatoon,52.127357,-106.66443500000001,The Rook & Raven,52.12770125,-106.66399673,Pub,100
Saskatoon,52.127357,-106.66443500000001,Bon Temps Cafe,52.12677319888113,-106.66494195512209,Cajun / Creole Restaurant,100
Saskatoon,52.127357,-106.66443500000001,Winston's English Pub & Grill,52.12697304556141,-106.66349392652212,Pub,100
Saskatoon,52.127357,-106.66443500000001,lululemon athletica,52.127588504693236,-106.66546299132278,Clothing Store,100
Saskatoon,52.127357,-106.66443500000001,Taverna Italian Restaurant,52.12691330200973,-106.66382397213266,Italian Restaurant,100
Saskatoon,52.127357,-106.66443500000001,Congress Beer House,52.12690689999999,-106.6652932,Gastropub,100
Saskatoon,52.127357,-106.66443500000001,O'Sheas Irish Pub,52.12668169341905,-106.66457284563464,Pub,100
Saskatoon,52.127357,-106.66443500000001,TD Canada Trust,52.12731845788308,-106.664038738295,Bank,100
St. John's,47.559473,-52.710136,St. John's Fish Exchange Kitchen and Wet Bar,47.5601604149299,-52.71056654157784,Seafood Restaurant,100
Sydney,46.139309999999995,-60.172718999999994,Schwartz,46.138854,-60.1723,Furniture / Home Store,100
Thompson,55.743680000000005,-97.855411,Canadian Tire,55.74321,-97.85448710369174,Hardware Store,100
Toronto,43.654097,-79.37994599999999,Indigo,43.65351471121164,-79.38069591056922,Bookstore,100
Toronto,43.654097,-79.37994599999999,LUSH,43.653557,-79.3804,Cosmetics Shop,100
Toronto,43.654097,-79.37994599999999,CF Toronto Eaton Centre,43.654446920401455,-79.38095230798749,Shopping Mall,100
Toronto,43.654097,-79.37994599999999,Crepe Delicious,43.654536488277245,-79.38088885547485,Fast Food Restaurant,100
Toronto,43.654097,-79.37994599999999,Solei Tanning Salon,43.654734082347616,-79.38024826065258,Tanning Salon,100
Toronto,43.654097,-79.37994599999999,SEPHORA,43.6535272,-79.3801543,Cosmetics Shop,100
Toronto,43.654097,-79.37994599999999,Magic Tailor,43.65374158228865,-79.37974523881418,Clothing Store,100
Toronto,43.654097,-79.37994599999999,Danish Pastry House,43.654574,-79.38074,Bakery,100
Toronto,43.654097,-79.37994599999999,MAC Cosmetics,43.65405547492733,-79.38071368220903,Cosmetics Shop,100
Toronto,43.654097,-79.37994599999999,Roots,43.65361341708363,-79.38024401664734,Clothing Store,100
Toronto,43.654097,-79.37994599999999,Tangerine Café,43.653936903308185,-79.37972202364307,Bank,100
Toronto,43.654097,-79.37994599999999,Trattoria Mercatto,43.65445314470199,-79.3809741075674,Italian Restaurant,100
Toronto,43.654097,-79.37994599999999,Hollister Co.,43.654479660102204,-79.38091371769396,Clothing Store,100
Toronto,43.654097,-79.37994599999999,Bath & Body Works,43.65418247138001,-79.38094783233447,Distribution Center,100
Toronto,43.654097,-79.37994599999999,Nordstrom Ebar,43.654648676831954,-79.38057377013143,Coffee Shop,100
Toronto,43.654097,-79.37994599999999,Starbucks,43.65446528594945,-79.37891894388453,Coffee Shop,100
Toronto,43.654097,-79.37994599999999,Urban Outfitters,43.65441107845698,-79.38005491917738,Clothing Store,100
Toronto,43.654097,-79.37994599999999,Fran's,43.65426474929814,-79.37912005538317,Diner,100
Toronto,43.654097,-79.37994599999999,Vans,43.654825509733335,-79.38024076741966,Shoe Store,100
Toronto,43.654097,-79.37994599999999,Pantages Hotel & Spa,43.65449797039222,-79.37903488923283,Hotel,100
Toronto,43.654097,-79.37994599999999,Pantages Lounge & Bar,43.654493431269564,-79.3789996004105,Cocktail Bar,100
Vancouver,49.278877,-123.115975,JJ Bean,49.27938179808702,-123.11518086597503,Coffee Shop,100
Vancouver,49.278877,-123.115975,Straight Outta Brooklyn NYC Pizzeria,49.279133,-123.116491,Pizza Place,100
Vancouver,49.278877,-123.115975,Library Square,49.2795177330898,-123.11540543405991,Plaza,100
Vancouver,49.278877,-123.115975,Smile Thai Wellness,49.27851158454926,-123.11533312898322,Spa,100
Vancouver,49.278877,-123.115975,Marutama Ramen,49.278585933023315,-123.11560211787825,Ramen Restaurant,100
Vancouver,49.278877,-123.115975,Super Chef Grill,49.27866083200846,-123.1156012495426,Asian Restaurant,100
Vancouver,49.278877,-123.115975,Patron Tacos & Cantina,49.278546221829906,-123.11545781631781,Mexican Restaurant,100
Vancouver,49.278877,-123.115975,7-Eleven,49.278838369117594,-123.11629325151443,Convenience Store,100
Vancouver,49.278877,-123.115975,Pâtisserie Für Elise,49.278496245791494,-123.11688664000555,Dessert Shop,100
Vancouver,49.278877,-123.115975,Subway,49.278503342035144,-123.1157405815776,Sandwich Place,100
Vancouver,49.278877,-123.115975,Original Joe's,49.27869109684302,-123.11603988382586,Restaurant,100
Vancouver,49.278877,-123.115975,Rosedale on Robson Suite Hotel,49.27834649272891,-123.11656171229305,Hotel,100
Victoria,48.427104,-123.366767,MEC Victoria,48.427840435870515,-123.36728888382201,Sporting Goods Shop,100
Victoria,48.427104,-123.366767,Lotus Pond,48.42739892233043,-123.36645139001732,Vegetarian / Vegan Restaurant,100
Victoria,48.427104,-123.366767,Legends Comics & Books,48.4273339,-123.3659341,Comic Shop,100
Victoria,48.427104,-123.366767,Curious Comics,48.42727938043496,-123.36582740340899,Comic Shop,100
Victoria,48.427104,-123.366767,Robinson's Outdoor Store,48.42690824485519,-123.36614385949198,Sporting Goods Shop,100
Victoria,48.427104,-123.366767,Azuma Sushi,48.426463,-123.366557,Sushi Restaurant,100
Whitehorse,60.720307999999996,-135.055446,Antoinette's,60.719863150948385,-135.05688566863535,Caribbean Restaurant,100
Whitehorse,60.720307999999996,-135.055446,Westmark Whitehorse,60.72067754231135,-135.05417335111605,Hotel,100
Whitehorse,60.720307999999996,-135.055446,CFES Congress 2012 at University of Yukon,60.72061086638336,-135.05381080490216,Beer Garden,100
Winnipeg,49.892412,-97.140338,Subway,49.89175200837874,-97.1402266395495,Sandwich Place,100
Winnipeg,49.892412,-97.140338,Fame Nightclub,49.89328911568951,-97.14009812310667,Gay Bar,100
Baker Lake,64.319224,-96.02985600000001,KFC,64.318453,-96.027962,Fast Food Restaurant,200
Calgary,51.048967,-114.067123,Over Easy Breakfast,51.048560757832206,-114.06591650826027,Breakfast Spot,200
Calgary,51.048967,-114.067123,Monogram Coffee,51.049165221064854,-114.06733253949304,Coffee Shop,200
Calgary,51.048967,-114.067123,The Keg Steakhouse + Bar - 4th Ave,51.04971861100794,-114.0690258924114,Restaurant,200
Calgary,51.048967,-114.067123,The Westin Calgary,51.0498692829872,-114.06943023204803,Hotel,200
Charlottetown,46.234212,-63.127499,Redwater Rustic Grille,46.23505525004317,-63.12713612154101,Restaurant,200
Charlottetown,46.234212,-63.127499,Claddagh Oyster House,46.23366,-63.125837,Restaurant,200
Charlottetown,46.234212,-63.127499,COWS Queen Street,46.23464963170164,-63.12813949949169,Ice Cream Shop,200
Charlottetown,46.234212,-63.127499,Gahan House Pub & Brewery,46.23351284073284,-63.12596659602558,Pub,200
Charlottetown,46.234212,-63.127499,Receiver Coffee,46.2338982601041,-63.126880542392165,Coffee Shop,200
Charlottetown,46.234212,-63.127499,Holman Grand,46.23511007162819,-63.1272936833622,Hotel,200
Charlottetown,46.234212,-63.127499,Mavor's Bistro & Bar,46.234679371842375,-63.1270805283182,Restaurant,200
Charlottetown,46.234212,-63.127499,Terre Rouge,46.23298610848588,-63.126104241070855,Deli / Bodega,200
Charlottetown,46.234212,-63.127499,Sim's Corner Steakhouse and Oyster Bar,46.23327760426676,-63.126315709437264,Steakhouse,200
Charlottetown,46.234212,-63.127499,Olde Dublin Pub,46.23366,-63.125837,Pub,200
Charlottetown,46.234212,-63.127499,Confederation Centre of the Arts,46.23461401194047,-63.127214407319535,Performing Arts Venue,200
Charlottetown,46.234212,-63.127499,The Brickhouse Kitchen & Bar,46.233476874846176,-63.126062574218025,American Restaurant,200
Charlottetown,46.234212,-63.127499,John Brown Richmond Street Grille,46.233929318035194,-63.126640340041675,Gastropub,200
Charlottetown,46.234212,-63.127499,Leonhard's Cafe & Bakery,46.235844500954194,-63.12710479555214,Café,200
Charlottetown,46.234212,-63.127499,The Guild,46.23351763448307,-63.12722138800159,Art Gallery,200
Charlottetown,46.234212,-63.127499,TA-KE Sushi,46.23341746327486,-63.12637384118406,Sushi Restaurant,200
Charlottetown,46.234212,-63.127499,Starbucks,46.23270983492592,-63.12615720646705,Coffee Shop,200
Charlottetown,46.234212,-63.127499,Charlotte Fruit & Bubble Tea,46.235344981900305,-63.12808178755604,Tea Room,200
Charlottetown,46.234212,-63.127499,Row House Lobster Co,46.234059,-63.126294,Seafood Restaurant,200
Charlottetown,46.234212,-63.127499,Mr. Sushi,46.23569860121339,-63.12678307566617,Sushi Restaurant,200
Charlottetown,46.234212,-63.127499,Casa Mia Café,46.23395092954153,-63.12784910202026,Café,200
Charlottetown,46.234212,-63.127499,The Pilot House,46.23392795340132,-63.12865633500646,American Restaurant,200
Charlottetown,46.234212,-63.127499,Fishbones Oyster Bar & Grill,46.23403993725152,-63.126532877758244,Seafood Restaurant,200
Charlottetown,46.234212,-63.127499,The Hotel on Pownal,46.234120806402856,-63.13005677433035,Hotel,200
Charlottetown,46.234212,-63.127499,Beanz,46.235788032457656,-63.1269543242571,Coffee Shop,200
Charlottetown,46.234212,-63.127499,Churchill Arms,46.232924875572685,-63.12628647052436,Bar,200
Charlottetown,46.234212,-63.127499,Brits Fish and Chips,46.23577275093992,-63.127232463119654,Seafood Restaurant,200
Charlottetown,46.234212,-63.127499,Tim Hortons,46.23581364442875,-63.12862560153002,Coffee Shop,200
Charlottetown,46.234212,-63.127499,RBC Royal Bank,46.23304721557205,-63.12650962913322,Bank,200
Charlottetown,46.234212,-63.127499,The Downtown Deli,46.233723758595616,-63.12920951021558,Deli / Bodega,200
Charlottetown,46.234212,-63.127499,Province House,46.23493795367154,-63.1258749961853,History Museum,200
Charlottetown,46.234212,-63.127499,Shoppers Drug Mart,46.235125,-63.128571,Pharmacy,200
Charlottetown,46.234212,-63.127499,China Garden,46.23349584285013,-63.126793058072494,Chinese Restaurant,200
Charlottetown,46.234212,-63.127499,Confederation Court Mall,46.2352146455162,-63.128048207877534,Shopping Mall,200
Charlottetown,46.234212,-63.127499,Subway,46.2347323,-63.128151,Sandwich Place,200
Charlottetown,46.234212,-63.127499,Courtside Sneakers,46.234789530124374,-63.12865376472473,Shoe Store,200
Churchill,58.77001,-94.16548900000001,Prince Of Wales Fort,58.77161561336573,-94.16470238942645,Harbor / Marina,200
Churchill,58.77001,-94.16548900000001,Eskimo Museum,58.770191627300036,-94.16710138320923,Art Museum,200
Edmonton,53.541762,-113.496502,Remedy Cafe,53.540782923628115,-113.49740498074345,Café,200
Edmonton,53.541762,-113.496502,Corso 32,53.54094890526599,-113.49875156315315,Italian Restaurant,200
Edmonton,53.541762,-113.496502,Sabor Divino,53.543151995499194,-113.49752832442137,Restaurant,200
Edmonton,53.541762,-113.496502,LUX Steakhouse + Bar,53.54172805627135,-113.49405542794989,Steakhouse,200
Edmonton,53.541762,-113.496502,Credo Coffee,53.541737731366624,-113.4989804307515,Coffee Shop,200
Edmonton,53.541762,-113.496502,Uccellino,53.540819,-113.498693,Italian Restaurant,200
Edmonton,53.541762,-113.496502,Tzin,53.54133741557251,-113.49914935447478,Tapas Restaurant,200
Edmonton,53.541762,-113.496502,Sabor Divino,53.543062560024055,-113.49751045265066,Mediterranean Restaurant,200
Edmonton,53.541762,-113.496502,Bistro Praha,53.541129653783955,-113.4938772854905,Eastern European Restaurant,200
Edmonton,53.541762,-113.496502,Drift Mobile Eatery,53.541996015280965,-113.49846505077028,Food Truck,200
Edmonton,53.541762,-113.496502,Evolution Wonderlounge,53.54313067759274,-113.49761446779198,Gay Bar,200
Edmonton,53.541762,-113.496502,Cavern,53.54243037629711,-113.49904077945115,Cheese Shop,200
Edmonton,53.541762,-113.496502,Bricco,53.54087250732387,-113.49876548162443,Lounge,200
Edmonton,53.541762,-113.496502,Evoolution Olive & Specialty Oils & Vinegars,53.54143933460134,-113.4989433907987,Miscellaneous Shop,200
Edmonton,53.541762,-113.496502,Sunterra Market,53.54199489721182,-113.49441473494342,Food & Drink Shop,200
Edmonton,53.541762,-113.496502,Fionn MacCool's,53.543398039210025,-113.49559106662419,Irish Pub,200
Edmonton,53.541762,-113.496502,Second Cup,53.542985095483225,-113.49550724029541,Coffee Shop,200
Edmonton,53.541762,-113.496502,SUBWAY,53.543193006800465,-113.49769246547316,Sandwich Place,200
Edmonton,53.541762,-113.496502,YMCA,53.542989632028196,-113.49640680990669,Gym,200
Edmonton,53.541762,-113.496502,Starbucks,53.541754,-113.494757,Coffee Shop,200
Edmonton,53.541762,-113.496502,Holt Renfrew,53.542964578067405,-113.49472002459127,Clothing Store,200
Edmonton,53.541762,-113.496502,Wok Box,53.54092188103267,-113.49492447788208,Asian Restaurant,200
Edmonton,53.541762,-113.496502,The Chopped Leaf,53.54185009930062,-113.49432871924027,Salad Place,200
Edmonton,53.541762,-113.496502,Haweli,53.54340612052297,-113.49745935843717,Indian Restaurant,200
Edmonton,53.541762,-113.496502,Manulife Place,53.54266555044982,-113.49501259489938,Office,200
Edmonton,53.541762,-113.496502,Oodle Noodle,53.54098249746845,-113.49887460434061,Noodle House,200
Edmonton,53.541762,-113.496502,Kelly's Pub,53.54223011981734,-113.49879547199069,Pub,200
Edmonton,53.541762,-113.496502,Hudson's Bay,53.5433651,-113.49679988,Department Store,200
Edmonton,53.541762,-113.496502,Zenari's,53.542718032394184,-113.49505117217551,Café,200
Edmonton,53.541762,-113.496502,Second Cup,53.54077461210028,-113.4983348814564,Coffee Shop,200
Edmonton,53.541762,-113.496502,The Bay,53.54345258179739,-113.49647264635712,Department Store,200
Edmonton,53.541762,-113.496502,The Hat,53.5407612838745,-113.49703959077056,Gastropub,200
Edmonton,53.541762,-113.496502,McDonald's,53.54170669567269,-113.49464140134603,Fast Food Restaurant,200
Edmonton,53.541762,-113.496502,Commerce Place,53.54191496974932,-113.49444838640943,Shopping Mall,200
Fredericton,45.962307,-66.642358,Palate Restaurant & Cafe,45.96233821565255,-66.64177617467865,Restaurant,200
Fredericton,45.962307,-66.642358,Picaroon's Brewtique,45.96270143991616,-66.64273113600812,Brewery,200
Fredericton,45.962307,-66.642358,Jonnie Java Roasters,45.96222556449052,-66.6438521302399,Coffee Shop,200
Fredericton,45.962307,-66.642358,Luna Pizza,45.962245983394084,-66.64378803516881,Italian Restaurant,200
Fredericton,45.962307,-66.642358,540 Kitchen and Bar,45.961656778289964,-66.64015241997615,Gastropub,200
Fredericton,45.962307,-66.642358,Second Cup,45.961385308725056,-66.64237172448938,Coffee Shop,200
Fredericton,45.962307,-66.642358,coffee and friends,45.96184175217495,-66.6434794324334,Coffee Shop,200
Fredericton,45.962307,-66.642358,Chess Piece Pâtisserie & Cafe,45.96335372107381,-66.64401723703803,Café,200
Fredericton,45.962307,-66.642358,Read's News Stand,45.9618593629089,-66.64346436837323,Coffee Shop,200
Fredericton,45.962307,-66.642358,Dimitri's Souvlaki,45.963092842907464,-66.64447869166825,Greek Restaurant,200
Fredericton,45.962307,-66.642358,Naru Japanese Cuisine,45.961706,-66.64014,Sushi Restaurant,200
Fredericton,45.962307,-66.642358,Cora's Breakfast & Lunch,45.96228195163872,-66.64160727304274,Breakfast Spot,200
Fredericton,45.962307,-66.642358,Smoke's Poutinerie,45.962031742981544,-66.64402060672332,Fast Food Restaurant,200
Fredericton,45.962307,-66.642358,Strange Adventures,45.96273341059763,-66.64331491173887,Hobby Shop,200
Fredericton,45.962307,-66.642358,Wilser's Room,45.963191666243254,-66.64408938206513,Bar,200
Fredericton,45.962307,-66.642358,Isaac's Way Restaurant,45.96163171650769,-66.64128677229519,Bar,200
Fredericton,45.962307,-66.642358,Dolan's Pub,45.96288634112784,-66.644615486447,Pub,200
Fredericton,45.962307,-66.642358,Shan,45.96181784725138,-66.64370561336787,Chinese Restaurant,200
Fredericton,45.962307,-66.642358,Capital Complex,45.96324522583414,-66.64412340655724,Bar,200
Fredericton,45.962307,-66.642358,Shoppers Drug Mart,45.961288,-66.643286,Pharmacy,200
Fredericton,45.962307,-66.642358,bulgogi,45.96152194430416,-66.6427423523576,Korean Restaurant,200
Fredericton,45.962307,-66.642358,boom! Nightclub,45.962315043137686,-66.64164454554812,Nightclub,200
Fredericton,45.962307,-66.642358,King's Place Mall,45.961678671180785,-66.6432671003085,Shopping Mall,200
Fredericton,45.962307,-66.642358,New Brunswick Sports Hall Of Fame,45.962006069158605,-66.64068346571551,Museum,200
Fredericton,45.962307,-66.642358,Dooley's,45.96186072771008,-66.6423327804814,Pool Hall,200
Fredericton,45.962307,-66.642358,unplugged,45.96265709625068,-66.64321806498715,General Entertainment,200
Fredericton,45.962307,-66.642358,Endeavours & Thinkplay,45.962798,-66.6428,Arts & Crafts Store,200
Fredericton,45.962307,-66.642358,Room 2 Remember,45.962001,-66.641214,Furniture / Home Store,200
Fredericton,45.962307,-66.642358,Phoenix Square,45.963597527434835,-66.6436141054441,Office,200
Fredericton,45.962307,-66.642358,Burrito Jax,45.962587,-66.644659,Mexican Restaurant,200
Halifax,44.646946,-63.575615,Stillwell Beer Bar,44.646908289093275,-63.57387460568352,Bar,200
Halifax,44.646946,-63.575615,The Stubborn Goat Gastropub,44.64538905565271,-63.57446730077915,Gastropub,200
Halifax,44.646946,-63.575615,The Wooden Monkey,44.64696747823336,-63.57547073718991,Vegetarian / Vegan Restaurant,200
Halifax,44.646946,-63.575615,Gio Restaurant,44.647067610032344,-63.57601730970989,Restaurant,200
Halifax,44.646946,-63.575615,Weird Harbour Espresso Bar,44.64653130676529,-63.57373927369271,Coffee Shop,200
Halifax,44.646946,-63.575615,Neptune Theatre,44.64608519567339,-63.574121049659134,Theater,200
Halifax,44.646946,-63.575615,The Five Fishermen,44.648028703444574,-63.57504485010113,Seafood Restaurant,200
Halifax,44.646946,-63.575615,Freak Lunchbox,44.64770837942512,-63.574449380402314,Candy Store,200
Halifax,44.646946,-63.575615,Taz Records,44.64551769094908,-63.575490887074245,Record Shop,200
Halifax,44.646946,-63.575615,Obladee Wine Bar,44.64620386787298,-63.57372612553381,Wine Bar,200
Halifax,44.646946,-63.575615,Scotiabank Centre,44.64813269406417,-63.57718413134533,Event Space,200
Halifax,44.646946,-63.575615,Barrington Steakhouse & Oyster Bar,44.6466884922462,-63.57387225199774,Steakhouse,200
Halifax,44.646946,-63.575615,The Press Gang,44.647121712036444,-63.574549218717664,American Restaurant,200
Halifax,44.646946,-63.575615,Lot Six,44.64679765680727,-63.5745036756427,Restaurant,200
Halifax,44.646946,-63.575615,Grand Parade Square,44.648156091314476,-63.57509103224672,Plaza,200
Halifax,44.646946,-63.575615,Le French Fix Pâtisserie,44.6471285133573,-63.574867216129995,Bakery,200
Halifax,44.646946,-63.575615,World Tea House,44.64599416322513,-63.57415562446326,Tea Room,200
Halifax,44.646946,-63.575615,Biscuit General Store,44.64621190109759,-63.57461073890586,Gift Shop,200
Halifax,44.646946,-63.575615,Halifax Mooseheads,44.648230827620374,-63.57707394919855,Hockey Arena,200
Halifax,44.646946,-63.575615,The Carleton Music Bar & Grill,44.64711615508256,-63.574658699734165,Cocktail Bar,200
Halifax,44.646946,-63.575615,Venus Envy,44.646085,-63.573488,Bookstore,200
Halifax,44.646946,-63.575615,The Nomad Gourmet,44.64799732222106,-63.575107239309176,Food Truck,200
Halifax,44.646946,-63.575615,Durty Nelly's Authentic Irish Pub,44.646196965214855,-63.57382201645609,Pub,200
Halifax,44.646946,-63.575615,Pita Pit,44.645708190760026,-63.57416997038841,Sandwich Place,200
Halifax,44.646946,-63.575615,Five Guys,44.646186169102364,-63.57454238075493,Burger Joint,200
Halifax,44.646946,-63.575615,The Keg Steakhouse + Bar - Halifax,44.64688029866431,-63.57622827397387,Restaurant,200
